LIME coefficients version,20251010_v1
Interpolation spectrum,ASD
latitude (deg),0.0
longitude (deg),180.0
altitude (m),0.0
datetime,2024-10-17 12:30:00+00:00
moon phase angle (deg),2.0094104876945935
selenographic latitude (deg),-2.4629755796726673
selenographic longitude (deg),1.06320402779235
solar selenographic longitude (rad),0.010556410111700304
distance sun moon (AU),0.9988308198747283
distance observer moon (km),351276.5402053473
CIMEL Wavelengths (nm),2024-10-17 12:30:00.000+00:00 Irradiances (Wm⁻²nm⁻¹),2024-10-17 12:30:00.000+00:00 Irradiances (Wm⁻²nm⁻¹) uncertainties (k=2)
725.0,5.494742883220749e-06,5.213473956214578e-08
726.0,5.488510439101206e-06,5.199965288349462e-08
727.0,5.472281200838027e-06,5.181659512534819e-08
728.0,5.440197290165127e-06,5.150437405239683e-08
729.0,5.412842420692916e-06,5.12327754430496e-08
730.0,5.413885712432591e-06,5.1175972238576735e-08
731.0,5.426059858995697e-06,5.1324288823671206e-08
732.0,5.431456644884644e-06,5.134125560151801e-08
733.0,5.434688162316224e-06,5.127948234586154e-08
734.0,5.435634980485927e-06,5.1299235803566823e-08
735.0,5.423949485983203e-06,5.1135426190128765e-08
736.0,5.407154487372713e-06,5.098964692332938e-08
737.0,5.3906374638473825e-06,5.0782655404760026e-08
738.0,5.3624852832404184e-06,5.046331822053848e-08
739.0,5.327110155163966e-06,5.011531446895346e-08
740.0,5.301027970986642e-06,4.98779255439082e-08
741.0,5.285207276320146e-06,4.962658446319964e-08
742.0,5.28749157320962e-06,4.9507886080703095e-08
743.0,5.31014481167518e-06,4.963587978027146e-08
744.0,5.329376392140347e-06,4.9713035989217e-08
745.0,5.338013146683695e-06,4.975938582226908e-08
746.0,5.3439517481512164e-06,4.994507274630097e-08
747.0,5.347974980590557e-06,4.9818760454569437e-08
748.0,5.339335834768144e-06,4.9504844157841396e-08
749.0,5.31702261908602e-06,4.941197391500894e-08
750.0,5.294837911508527e-06,4.921785368515361e-08
751.0,5.283050707551521e-06,4.905663282359604e-08
752.0,5.282095337231195e-06,4.8987340440682036e-08
753.0,5.288238226715703e-06,4.9016826064376184e-08
754.0,5.294411717118046e-06,4.9092654363975355e-08
755.0,5.288110231855857e-06,4.899769657061574e-08
756.0,5.2709136956999084e-06,4.868644080664483e-08
757.0,5.257032194093467e-06,4.848518090908419e-08
758.0,5.248183631051596e-06,4.831459012989362e-08
759.0,5.247706937575417e-06,4.8284016875600876e-08
760.0,5.249146925704789e-06,4.821423110351386e-08
761.0,5.2401865681559055e-06,4.8086742517433657e-08
762.0,5.232199036266373e-06,4.801279854437086e-08
763.0,5.236539892954589e-06,4.79755068023532e-08
764.0,5.22865732346143e-06,4.792022549725341e-08
