Date	21-01-20
Spectrometer	QEB1691
Lamp SN	F1402-5
Int. Time(usec)	750000
Average	0
	0
Fiber (micron)	 3900 
	
[uJoule/count]
838.61210	3.5340951E-05
839.35960	3.5525707E-05
840.10710	3.5638535E-05
840.85450	3.5691268E-05
841.60180	3.5755260E-05
842.34900	3.5882726E-05
843.09620	3.6060868E-05
843.84320	3.6222251E-05
844.59020	3.6298786E-05
845.33700	3.6292501E-05
846.08380	3.6278534E-05
846.83050	3.6321925E-05
847.57710	3.6425919E-05
848.32360	3.6544761E-05
849.07000	3.6623652E-05
849.81640	3.6647600E-05
850.56260	3.6655256E-05
851.30880	3.6706475E-05
852.05480	3.6844829E-05
852.80080	3.7039609E-05
853.54670	3.7213438E-05
854.29250	3.7306990E-05
855.03820	3.7330843E-05
855.78380	3.7375155E-05
856.52940	3.7503455E-05
857.27480	3.7697890E-05
858.02020	3.7894518E-05
858.76540	3.8029157E-05
859.51060	3.8078968E-05
860.25570	3.8094917E-05
861.00070	3.8173995E-05
861.74560	3.8349718E-05
862.49040	3.8583400E-05
863.23520	3.8796313E-05
863.97980	3.8924103E-05
864.72430	3.8981329E-05
865.46880	3.9051513E-05
866.21320	3.9222071E-05
866.95750	3.9477992E-05
867.70170	3.9761372E-05
868.44580	3.9995367E-05
869.18980	4.0133733E-05
869.93370	4.0209988E-05
870.67750	4.0339318E-05
871.42130	4.0579484E-05
872.16500	4.0883994E-05
872.90850	4.1185615E-05
873.65200	4.1417021E-05
874.39540	4.1530148E-05
875.13870	4.1607709E-05
875.88190	4.1750158E-05
876.62500	4.1986565E-05
877.36800	4.2263845E-05
878.11100	4.2500204E-05
878.85380	4.2621221E-05
879.59660	4.2628591E-05
880.33920	4.2627980E-05
881.08180	4.2714691E-05
881.82430	4.2870490E-05
882.56670	4.3043961E-05
883.30900	4.3161151E-05
884.05120	4.3172074E-05
884.79330	4.3116817E-05
885.53540	4.3100331E-05
886.27730	4.3189565E-05
887.01920	4.3357198E-05
887.76090	4.3536939E-05
888.50260	4.3662241E-05
889.24420	4.3688734E-05
889.98570	4.3674871E-05
890.72710	4.3716381E-05
891.46840	4.3867883E-05
892.20960	4.4098876E-05
892.95070	4.4337089E-05
893.69180	4.4499016E-05
894.43270	4.4563400E-05
895.17360	4.4597948E-05
895.91430	4.4687677E-05
896.65500	4.4880924E-05
897.39560	4.5143516E-05
898.13610	4.5423102E-05
898.87650	4.5645416E-05
899.61680	4.5757928E-05
900.35700	4.5802666E-05
901.09710	4.5889460E-05
901.83710	4.6082812E-05
902.57710	4.6358152E-05
903.31690	4.6650199E-05
904.05670	4.6888992E-05
904.79640	4.7023215E-05
905.53590	4.7111357E-05
906.27540	4.7212048E-05
907.01480	4.7373724E-05
907.75410	4.7643493E-05
908.49330	4.7982831E-05
909.23240	4.8294259E-05
909.97150	4.8511759E-05
910.71040	4.8641194E-05
911.44920	4.8766807E-05
912.18800	4.8952914E-05
912.92660	4.9236842E-05
913.66520	4.9599705E-05
914.40370	4.9968822E-05
915.14210	5.0295543E-05
915.88040	5.0546459E-05
916.61860	5.0756451E-05
917.35670	5.0998857E-05
918.09470	5.1332482E-05
